day_key,entry_time,side,entry_price,sl,tp,exit_time,exit_price,exit_reason,pnl_usdt,r_multiple,used_fallback,mode
2025-09-03,2025-09-03 23:45:00+00:00,long,111659.8,111603.55428571429,111753.54285714286,2025-09-04 00:00:00+00:00,111603.55428571429,stop_loss,-124.2357182769441,-4.969428731077764,True,moderate
2025-09-04,2025-09-04 23:45:00+00:00,long,110679.4,110547.53714285714,110899.17142857143,2025-09-05 00:00:00+00:00,110547.53714285714,stop_loss,-66.94261787138181,-2.6777047148552726,True,moderate
2025-09-05,2025-09-05 23:45:00+00:00,long,110614.9,110499.36571428571,110807.45714285714,2025-09-06 01:00:00+00:00,110807.45714285714,take_profit,-6.246027771595685,-0.2498411108638274,True,moderate
2025-09-06,2025-09-06 23:45:00+00:00,short,110135.3,110154.00285714286,110104.12857142858,2025-09-07 00:00:00+00:00,110154.00285714286,stop_loss,-319.45942560349124,-12.77837702413965,True,moderate
2025-09-07,2025-09-07 23:45:00+00:00,long,111076.0,111023.55142857143,111163.41428571429,2025-09-08 00:00:00+00:00,111023.55142857143,stop_loss,-130.86539603421474,-5.23461584136859,True,moderate
2025-09-08,2025-09-08 23:45:00+00:00,long,112012.6,111960.02285714286,112100.22857142858,2025-09-09 00:00:00+00:00,111960.02285714286,stop_loss,-131.49714433213123,-5.259885773285249,True,moderate
2025-09-09,2025-09-09 23:45:00+00:00,long,111499.9,111444.33142857143,111592.51428571428,2025-09-10 00:00:00+00:00,111444.33142857143,stop_loss,-125.30140495656534,-5.012056198262614,True,moderate
2025-09-10,2025-09-10 23:45:00+00:00,short,113896.8,113942.79428571429,113820.14285714286,2025-09-11 00:00:00+00:00,113942.79428571429,stop_loss,-148.84125046588832,-5.953650018635533,True,moderate
2025-09-11,2025-09-11 23:45:00+00:00,short,115427.0,115533.62857142858,115249.28571428571,2025-09-12 00:00:00+00:00,115533.62857142858,stop_loss,-79.15073687030808,-3.166029474812323,True,moderate
2025-09-12,2025-09-12 23:45:00+00:00,short,115978.4,116030.36,115891.79999999999,2025-09-13 00:00:00+00:00,116030.36,stop_loss,-136.62854118551357,-5.465141647420543,True,moderate
2025-09-13,2025-09-13 23:45:00+00:00,long,115862.7,115846.79142857142,115889.21428571429,2025-09-14 00:00:00+00:00,115889.21428571429,take_profit,-322.5268049567994,-12.901072198271978,True,moderate
2025-09-14,2025-09-14 23:45:00+00:00,long,115210.0,115124.88571428572,115351.85714285714,2025-09-15 00:00:00+00:00,115124.88571428572,stop_loss,-92.65459046660085,-3.706183618664034,True,moderate
2025-09-15,2025-09-15 23:45:00+00:00,long,115300.6,115265.57714285715,115358.97142857143,2025-09-16 00:00:00+00:00,115265.57714285715,stop_loss,-189.58264398758783,-7.583305759503514,True,moderate
2025-09-16,2025-09-16 23:45:00+00:00,long,116747.3,116715.83428571429,116799.74285714286,2025-09-17 00:00:00+00:00,116715.83428571429,stop_loss,-210.49009579585748,-8.4196038318343,True,moderate
2025-09-17,2025-09-17 23:45:00+00:00,short,116402.5,116546.74857142857,116162.08571428571,2025-09-18 00:00:00+00:00,116162.08571428571,take_profit,1.3604467486681813,0.05441786994672725,True,moderate
2025-09-18,2025-09-18 23:45:00+00:00,short,117017.1,117112.76571428572,116857.65714285715,2025-09-19 00:15:00+00:00,117112.76571428572,stop_loss,-86.18437192007852,-3.4473748768031407,True,moderate
2025-09-19,2025-09-19 23:45:00+00:00,long,115569.5,115537.84571428571,115622.25714285714,2025-09-20 00:00:00+00:00,115537.84571428571,stop_loss,-207.52453064352244,-8.300981225740898,True,moderate
2025-09-20,2025-09-20 23:45:00+00:00,short,115624.9,115653.84571428571,115576.65714285713,2025-09-21 00:00:00+00:00,115653.84571428571,stop_loss,-224.75214934360343,-8.990085973744137,True,moderate
2025-09-21,2025-09-21 23:45:00+00:00,long,115183.9,115151.92,115237.2,2025-09-22 00:00:00+00:00,115151.92,stop_loss,-205.06239837400668,-8.202495934960266,True,moderate
2025-09-22,2025-09-22 23:45:00+00:00,long,112604.7,112544.22857142857,112705.4857142857,2025-09-23 00:00:00+00:00,112544.22857142857,stop_loss,-118.08070517363507,-4.723228206945403,True,moderate
2025-09-23,2025-09-23 23:45:00+00:00,short,111947.0,112012.52857142857,111837.78571428571,2025-09-24 00:00:00+00:00,111837.78571428571,take_profit,-43.7101318944831,-1.7484052757793238,True,moderate
2025-09-24,2025-09-24 23:45:00+00:00,short,113254.0,113292.28857142857,113190.18571428572,2025-09-25 00:00:00+00:00,113292.28857142857,stop_loss,-172.9203063204457,-6.916812252817827,True,moderate
2025-09-25,2025-09-25 23:45:00+00:00,long,108934.5,108853.71428571429,109069.14285714286,2025-09-26 00:00:00+00:00,109069.14285714286,take_profit,-25.796883289126633,-1.0318753315650653,True,moderate
2025-09-26,2025-09-26 23:45:00+00:00,short,109588.5,109637.52,109506.8,2025-09-27 00:15:00+00:00,109506.8,take_profit,-70.0710424316562,-2.802841697266248,True,moderate
2025-09-27,2025-09-27 23:45:00+00:00,long,109577.3,109548.38857142857,109625.48571428572,2025-09-28 00:00:00+00:00,109548.38857142857,stop_loss,-214.48016355369282,-8.579206542147713,True,moderate
2025-09-28,2025-09-28 23:45:00+00:00,short,112119.6,112267.99714285714,111872.27142857143,2025-09-29 00:15:00+00:00,112267.99714285714,stop_loss,-62.801872870098705,-2.5120749148039487,True,moderate
