day_key,entry_time,side,entry_price,sl,tp,exit_time,exit_price,exit_reason,pnl_usdt,r_multiple,used_fallback,mode
2025-09-18,2025-09-18 23:45:00+00:00,short,117017.1,117136.68214285714,116897.51785714287,2025-09-19 00:15:00+00:00,117136.68214285714,stop_loss,-37.028623891229614,-2.468574926081974,True,conservative
2025-09-19,2025-09-19 23:45:00+00:00,long,115569.5,115529.93214285714,115609.06785714286,2025-09-20 00:15:00+00:00,115529.93214285714,stop_loss,-80.70658103168019,-5.380438735445346,True,conservative
2025-09-20,2025-09-20 23:45:00+00:00,short,115624.9,115661.08214285714,115588.71785714285,2025-09-21 00:00:00+00:00,115661.08214285714,stop_loss,-86.91302376369724,-5.7942015842464825,True,conservative
2025-09-21,2025-09-21 23:45:00+00:00,long,115183.9,115143.92499999999,115223.875,2025-09-22 00:00:00+00:00,115143.92499999999,stop_loss,-79.82021341462472,-5.321347560974981,True,conservative
2025-09-22,2025-09-22 23:45:00+00:00,long,112604.7,112529.1107142857,112680.28928571429,2025-09-23 00:00:00+00:00,112529.1107142857,stop_loss,-48.50680386250701,-3.233786924167134,True,conservative
2025-09-23,2025-09-23 23:45:00+00:00,short,111947.0,112028.91071428571,111865.08928571429,2025-09-24 00:00:00+00:00,111865.08928571429,take_profit,-15.73939748201595,-1.04929316546773,True,conservative
2025-09-24,2025-09-24 23:45:00+00:00,short,113254.0,113301.8607142857,113206.1392857143,2025-09-25 00:00:00+00:00,113301.8607142857,stop_loss,-68.25356027536046,-4.550237351690697,True,conservative
2025-09-25,2025-09-25 23:45:00+00:00,long,108934.5,108833.51785714286,109035.48214285714,2025-09-26 00:00:00+00:00,109035.48214285714,take_profit,-9.28312798408438,-0.6188751989389587,True,conservative
2025-09-26,2025-09-26 23:45:00+00:00,short,109588.5,109649.775,109527.225,2025-09-27 00:00:00+00:00,109527.225,take_profit,-25.22932527540162,-1.681955018360108,True,conservative
2025-09-27,2025-09-27 23:45:00+00:00,long,109577.3,109541.16071428571,109613.4392857143,2025-09-28 00:00:00+00:00,109613.4392857143,take_profit,-53.23310887932256,-3.5488739252881705,True,conservative
2025-09-28,2025-09-28 23:45:00+00:00,short,112119.6,112305.09642857143,111934.10357142858,2025-09-29 00:15:00+00:00,111934.10357142858,take_profit,1.4115757667644626,0.09410505111763084,True,conservative
2025-09-29,2025-09-29 23:45:00+00:00,short,114257.1,114301.73571428572,114212.46428571429,2025-09-30 00:00:00+00:00,114212.46428571429,take_profit,-42.58354356696857,-2.8389029044645717,True,conservative
2025-09-30,2025-09-30 05:15:00+00:00,short,113985.1,114222.89285714286,113747.30714285716,2025-09-30 07:30:00+00:00,113747.30714285716,take_profit,4.225960732630083,0.2817307155086722,False,conservative
2025-10-01,2025-10-01 23:45:00+00:00,short,118552.4,118701.2,118403.59999999999,2025-10-02 00:00:00+00:00,118701.2,stop_loss,-32.93752016128997,-2.1958346774193314,True,conservative
2025-10-02,2025-10-02 23:45:00+00:00,short,120481.3,120558.12142857144,120404.47857142857,2025-10-03 00:00:00+00:00,120404.47857142857,take_profit,-20.276160041838146,-1.3517440027892096,True,conservative
2025-10-03,2025-10-03 11:00:00+00:00,short,120100.2,120237.78214285715,119962.61785714285,2025-10-03 11:15:00+00:00,120237.78214285715,stop_loss,-34.65227639981197,-2.3101517599874644,True,conservative
