day_key,entry_time,side,entry_price,sl,tp,exit_time,exit_price,exit_reason,pnl_usdt,r_multiple,used_fallback
2024-09-26,2024-09-26 12:30:00+00:00,long,64580.0,64335.38,64987.7,2024-09-26 14:15:00+00:00,64987.7,take_profit,33.333333333333336,1.6666666666666667,False
2024-09-27,2024-09-27 12:30:00+00:00,long,65755.8,65540.74285714286,66114.22857142857,2024-09-27 14:00:00+00:00,66114.22857142857,take_profit,33.33333333333288,1.666666666666644,False
2024-09-28,2024-09-28 12:15:00+00:00,short,65607.3,65722.02,65416.100000000006,2024-09-28 12:30:00+00:00,65416.100000000006,take_profit,33.33333333333249,1.6666666666666243,False
2024-09-30,2024-09-30 12:45:00+00:00,long,64012.7,63738.94571428571,64468.95714285714,2024-09-30 14:00:00+00:00,63738.94571428571,stop_loss,-20.0,-1.0,False
2024-10-01,2024-10-01 12:30:00+00:00,short,63593.4,63733.577142857146,63359.77142857143,2024-10-01 13:15:00+00:00,63359.77142857143,take_profit,33.33333333333264,1.666666666666632,False
2024-10-02,2024-10-02 12:45:00+00:00,short,60780.2,61102.81142857143,60242.514285714286,2024-10-02 19:15:00+00:00,60242.514285714286,take_profit,33.33333333333318,1.6666666666666592,False
2024-10-03,2024-10-03 12:00:00+00:00,short,60557.9,60817.69142857143,60124.91428571429,2024-10-03 13:15:00+00:00,60124.91428571429,take_profit,33.33333333333333,1.6666666666666667,False
2024-10-04,2024-10-04 12:15:00+00:00,long,61552.8,61389.89142857144,61824.31428571429,2024-10-04 12:45:00+00:00,61824.31428571429,take_profit,33.333333333333925,1.6666666666666965,False
2024-10-05,2024-10-05 12:15:00+00:00,long,62214.0,62132.27142857143,62350.21428571428,2024-10-05 13:30:00+00:00,62132.27142857143,stop_loss,-20.0,-1.0,False
2024-10-06,2024-10-06 12:45:00+00:00,long,62191.3,62106.28,62333.00000000001,2024-10-06 14:15:00+00:00,62333.00000000001,take_profit,33.33333333333277,1.666666666666638,False
2024-10-08,2024-10-08 12:30:00+00:00,short,62435.4,62586.36,62183.8,2024-10-08 14:30:00+00:00,62183.8,take_profit,33.333333333333336,1.6666666666666667,False
2024-10-09,2024-10-09 12:30:00+00:00,short,61852.0,61995.10857142857,61613.485714285714,2024-10-09 14:45:00+00:00,61613.485714285714,take_profit,33.333333333332995,1.6666666666666496,False
2024-10-10,2024-10-10 12:30:00+00:00,short,60930.0,61139.99142857143,60580.014285714286,2024-10-10 14:30:00+00:00,60580.014285714286,take_profit,33.3333333333338,1.6666666666666898,False
2024-10-11,2024-10-11 12:15:00+00:00,long,61236.9,61050.008571428574,61548.38571428572,2024-10-11 13:30:00+00:00,61548.38571428572,take_profit,33.33333333333359,1.6666666666666796,False
2024-10-12,2024-10-12 12:30:00+00:00,short,62860.0,63010.43714285715,62609.27142857143,2024-10-12 12:45:00+00:00,63010.43714285715,stop_loss,-20.0,-1.0,False
